language,name_english,name,long_name,book_number,abbreviation,testament,division
English,Genesis,Genesis,The Book of Genesis,1,GEN,OldTestament,Pentateuch
English,Exodus,Exodus,The Book of Exodus,2,EXO,OldTestament,Pentateuch
English,Leviticus,Leviticus,The Book of Leviticus,3,LEV,OldTestament,Pentateuch
English,Numbers,Numbers,The Book of Numbers,4,NUM,OldTestament,Pentateuch
English,Deuteronomy,Deuteronomy,The Book of Deuteronomy,5,DEU,OldTestament,Pentateuch
English,Joshua,Joshua,The Book of Joshua,6,JOS,OldTestament,HistoricalBook
English,Judges,Judges,The Book of Judges,7,JDG,OldTestament,HistoricalBook
English,Ruth,Ruth,The Book of Ruth,8,RUT,OldTestament,HistoricalBook
English,1 Samuel,1 Samuel,The First Book of Samuel,9,1SA,OldTestament,HistoricalBook
English,2 Samuel,2 Samuel,The Second Book of Samuel,10,2SA,OldTestament,HistoricalBook
English,1 Kings,1 Kings,The First Book of Kings,11,1KI,OldTestament,HistoricalBook
English,2 Kings,2 Kings,The Second Book of Kings,12,2KI,OldTestament,HistoricalBook
English,1 Chronicles,1 Chronicles,The First Book of Chronicles,13,1CH,OldTestament,HistoricalBook
English,2 Chronicles,2 Chronicles,The Second Book of Chronicles,14,2CH,OldTestament,HistoricalBook
English,Ezra,Ezra,The Book of Ezra,15,EZR,OldTestament,HistoricalBook
English,Nehemiah,Nehemiah,The Book of Nehemiah,16,NEH,OldTestament,HistoricalBook
English,Esther,Esther,The Book of Ester,17,EST,OldTestament,HistoricalBook
English,Job,Job,The Book of Job,18,JOB,OldTestament,WisdomBook
English,Psalms,Psalms,The Book of Psalms,19,PSA,OldTestament,WisdomBook
English,Proverbs,Proverbs,The Book of Proverbs,20,PRO,OldTestament,WisdomBook
English,Ecclesiastes,Ecclesiastes,The Book of Ecclesiastes,21,ECC,OldTestament,WisdomBook
English,Song of Solomon,Song of Solomon,The Song of Solomon,22,SNG,OldTestament,WisdomBook
English,Isaiah,Isaiah,The Book of Isaiah,23,ISA,OldTestament,MajorProphet
English,Jeremiah,Jeremiah,The Book of Jeremiah,24,JER,OldTestament,MajorProphet
English,Lamentations,Lamentations,The Book of Lamentations,25,LAM,OldTestament,MajorProphet
English,Ezekiel,Ezekiel,The Book of Ezekiel,26,EZK,OldTestament,MajorProphet
English,Daniel,Daniel,The Book of Daniel,27,DAN,OldTestament,MajorProphet
English,Hosea,Hosea,The Book of Hosea,28,HOS,OldTestament,MinorProphet
English,Joel,Joel,The Book of Joel,29,JOL,OldTestament,MinorProphet
English,Amos,Amos,The Book of Amos,30,AMO,OldTestament,MinorProphet
English,Obadiah,Obadiah,The Book of Obadiah,31,OBA,OldTestament,MinorProphet
English,Jonah,Jonah,The Book of Jonah,32,JON,OldTestament,MinorProphet
English,Micah,Micah,The Book of Micah,33,MIC,OldTestament,MinorProphet
English,Nahum,Nahum,The Book of Nahum,34,NAM,OldTestament,MinorProphet
English,Habakkuk,Habakkuk,The Book of Habakkuk,35,HAB,OldTestament,MinorProphet
English,Zephaniah,Zephaniah,The Book of Zephaniah,36,ZEP,OldTestament,MinorProphet
English,Haggai,Haggai,The Book of Haggai,37,HAG,OldTestament,MinorProphet
English,Zechariah,Zechariah,The Book of Zechariah,38,ZEC,OldTestament,MinorProphet
English,Malachi,Malachi,The Book of Malachi,39,MAL,OldTestament,MinorProphet
English,Matthew,Matthew,The Gospel According to Matthew,40,MAT,NewTestament,Gospel
English,Mark,Mark,The Gospel According to Mark,41,MRK,NewTestament,Gospel
English,Luke,Luke,The Gospel According to Luke,42,LUK,NewTestament,Gospel
English,John,John,The Gospel According to John,43,JHN,NewTestament,Gospel
English,Acts,Acts,The Acts of the Apostles,44,ACT,NewTestament,History
English,Romans,Romans,The Epistle to the Romans,45,ROM,NewTestament,PaulineEpistle
English,1 Corinthians,1 Corinthians,The First Epistle to the Corinthians,46,1CO,NewTestament,PaulineEpistle
English,2 Corinthians,2 Corinthians,The Second Epistle to the Corinthians,47,2CO,NewTestament,PaulineEpistle
